timestamp,flight_id,aircraft_reg,altitude_ft,airspeed_kts,vertical_speed_fpm,pitch_deg,roll_deg,heading_deg,engine1_n1_pct,engine2_n1_pct,engine1_egt_c,engine2_egt_c,flap_position,gear_position,groundspeed_kts,latitude,longitude,phase
2022-01-13 04:51:00,FDM6522,G-ABCD,0,0,0,1.2,0.1,182,22.1,22.3,410,412,0,1,0,51.4775,-0.4614,PRE_FLIGHT
2022-01-13 04:51:10,FDM6522,G-ABCD,0,0,0,1.2,0.1,182,45.3,45.1,520,518,0,1,0,51.4775,-0.4614,PRE_FLIGHT
2022-01-13 04:51:20,FDM6522,G-ABCD,0,2,0,1.3,0.2,182,68.2,68.4,610,608,5,1,2,51.4775,-0.4614,TAXI
2022-01-13 04:51:30,FDM6522,G-ABCD,0,5,0,1.3,0.2,183,70.1,70.3,615,614,5,1,5,51.4776,-0.4615,TAXI
2022-01-13 04:52:00,FDM6522,G-ABCD,0,15,0,2.1,0.3,185,82.4,82.1,640,638,10,1,15,51.4778,-0.4620,TAKEOFF_ROLL
2022-01-13 04:52:10,FDM6522,G-ABCD,0,80,200,5.2,1.1,185,92.3,92.5,680,678,10,1,80,51.4780,-0.4630,TAKEOFF_ROLL
2022-01-13 04:52:20,FDM6522,G-ABCD,0,130,800,8.4,1.5,185,95.1,95.2,710,708,10,1,130,51.4785,-0.4645,TAKEOFF_ROLL
2022-01-13 04:52:30,FDM6522,G-ABCD,150,145,1200,10.2,2.1,186,92.0,92.2,700,698,10,0,145,51.4792,-0.4660,INITIAL_CLIMB
2022-01-13 04:52:40,FDM6522,G-ABCD,400,155,1500,9.8,2.3,186,91.5,91.7,695,693,5,0,155,51.4800,-0.4680,INITIAL_CLIMB
2022-01-13 04:53:00,FDM6522,G-ABCD,900,165,1800,8.1,3.2,187,90.2,90.4,688,686,5,0,165,51.4820,-0.4720,CLIMB
2022-01-13 04:54:00,FDM6522,G-ABCD,3200,210,2000,6.2,2.8,188,88.4,88.6,675,673,0,0,210,51.4900,-0.4900,CLIMB
2022-01-13 04:56:00,FDM6522,G-ABCD,8500,250,1800,4.1,1.2,190,85.2,85.4,660,658,0,0,250,51.5100,-0.5300,CLIMB
2022-01-13 05:00:00,FDM6522,G-ABCD,18000,320,1200,2.8,0.8,192,82.1,82.3,645,643,0,0,320,51.5600,-0.6200,CLIMB
2022-01-13 05:10:00,FDM6522,G-ABCD,32000,420,400,1.2,0.5,195,78.4,78.6,628,626,0,0,420,51.7000,-0.9000,CRUISE
2022-01-13 05:30:00,FDM6522,G-ABCD,37000,450,0,0.8,0.3,198,76.2,76.4,615,613,0,0,450,52.1000,-1.5000,CRUISE
